area,year,pop
Total New Zealand by regional council/statistical area 2,1996,3732000
,1997,3781300
,1998,3815000
,1999,3835100
,2000,3857700
,2001,3880500
,2002,3948500
,2003,4027200
,2004,4087500
,2005,4133900
,2006,4184600
,2007,4223800
,2008,4259800
,2009,4302600
,2010,4350700
,2011,4384000
,2012,4408100
,2013,4442100
,2014,4516500
,2015,4609400
,2016,4714100
,2017,4813600
,2018,4900600
,2019,4979200
,2020,5090200
,2021,5122600
  Northland region,1996,140700
,1997,142100
,1998,143300
,1999,143800
,2000,144400
,2001,144400
,2002,146000
,2003,147900
,2004,149500
,2005,151000
,2006,152700
,2007,154700
,2008,156300
,2009,158200
,2010,160600
,2011,162500
,2012,163500
,2013,164700
,2014,168200
,2015,172100
,2016,176400
,2017,181200
,2018,185800
,2019,189100
,2020,194300
,2021,197900
  Auckland region,1996,1115800
,1997,1146700
,1998,1169000
,1999,1184800
,2000,1201500
,2001,1218300
,2002,1255800
,2003,1297600
,2004,1326000
,2005,1348900
,2006,1373000
,2007,1390400
,2008,1405500
,2009,1421700
,2010,1439600
,2011,1459600
,2012,1476500
,2013,1493200
,2014,1520400
,2015,1552800
,2016,1589800
,2017,1625100
,2018,1654800
,2019,1681300
,2020,1716900
,2021,1715600
  Waikato region,1996,358800
,1997,362700
,1998,365600
,1999,366900
,2000,368100
,2001,368400
,2002,373400
,2003,379200
,2004,384500
,2005,388700
,2006,393200
,2007,397300
,2008,401600
,2009,406600
,2010,412400
,2011,417300
,2012,421500
,2013,424600
,2014,432400
,2015,442100
,2016,452800
,2017,465000
,2018,475600
,2019,485700
,2020,499300
,2021,506000
  Bay of Plenty region,1996,230600
,1997,235400
,1998,239600
,1999,242500
,2000,245200
,2001,246900
,2002,250700
,2003,255000
,2004,259100
,2005,262200
,2006,265300
,2007,267900
,2008,270200
,2009,272700
,2010,275700
,2011,278200
,2012,278800
,2013,279700
,2014,286100
,2015,293200
,2016,301500
,2017,311500
,2018,320800
,2019,328200
,2020,338400
,2021,343400
  Gisborne region,1996,47200
,1997,46900
,1998,46600
,1999,46400
,2000,46100
,2001,45500
,2002,45500
,2003,45800
,2004,45800
,2005,45900
,2006,46000
,2007,46000
,2008,46000
,2009,46300
,2010,46700
,2011,46800
,2012,47000
,2013,47000
,2014,47500
,2015,48100
,2016,48800
,2017,49200
,2018,49500
,2019,50200
,2020,51100
,2021,51500
  Hawke's Bay region,1996,146600
,1997,147400
,1998,147600
,1999,147300
,2000,147300
,2001,147300
,2002,148500
,2003,149400
,2004,150400
,2005,151200
,2006,152100
,2007,152900
,2008,153500
,2009,154500
,2010,156300
,2011,157300
,2012,157500
,2013,158000
,2014,160800
,2015,163700
,2016,166900
,2017,169700
,2018,172400
,2019,174900
,2020,179700
,2021,181500
  Taranaki region,1996,109000
,1997,108600
,1998,108100
,1999,107300
,2000,106500
,2001,105700
,2002,105900
,2003,106600
,2004,106800
,2005,106800
,2006,107300
,2007,107600
,2008,108300
,2009,109300
,2010,110700
,2011,111800
,2012,112700
,2013,113600
,2014,115000
,2015,116600
,2016,118500
,2017,120000
,2018,121200
,2019,123100
,2020,125200
,2021,126400
  Manawatu-Whanganui region,1996,234500
,1997,233800
,1998,232500
,1999,231200
,2000,229900
,2001,227500
,2002,227800
,2003,228700
,2004,229200
,2005,228900
,2006,229400
,2007,228700
,2008,228600
,2009,229300
,2010,230400
,2011,231300
,2012,231200
,2013,231200
,2014,234200
,2015,237400
,2016,241100
,2017,244300
,2018,247500
,2019,250600
,2020,254500
,2021,256500
  Wellington region,1996,426900
,1997,431200
,1998,433900
,1999,435800
,2000,437500
,2001,440200
,2002,445800
,2003,452300
,2004,457800
,2005,461600
,2006,466300
,2007,469300
,2008,471800
,2009,475600
,2010,479400
,2011,483400
,2012,485100
,2013,486700
,2014,493800
,2015,501800
,2016,510700
,2017,518300
,2018,525900
,2019,532600
,2020,543000
,2021,547000
  Tasman region,1996,38800
,1997,39400
,1998,40200
,1999,40800
,2000,41600
,2001,42400
,2002,43200
,2003,44100
,2004,45000
,2005,45500
,2006,45800
,2007,46200
,2008,46500
,2009,46900
,2010,47400
,2011,48200
,2012,48600
,2013,48800
,2014,49700
,2015,50700
,2016,51900
,2017,53000
,2018,54000
,2019,54900
,2020,57000
,2021,57900
  Nelson region,1996,41200
,1997,41700
,1998,42000
,1999,42300
,2000,42600
,2001,42900
,2002,43100
,2003,43600
,2004,44000
,2005,44100
,2006,44300
,2007,44700
,2008,45200
,2009,45800
,2010,46500
,2011,47500
,2012,48200
,2013,48700
,2014,49600
,2015,50500
,2016,51400
,2017,52000
,2018,52700
,2019,53400
,2020,54700
,2021,54700
  Marlborough region,1996,39200
,1997,39600
,1998,40000
,1999,40300
,2000,40500
,2001,40700
,2002,41200
,2003,41800
,2004,42500
,2005,43000
,2006,43600
,2007,43800
,2008,44200
,2009,44400
,2010,44600
,2011,44700
,2012,44600
,2013,44700
,2014,45400
,2015,46200
,2016,47100
,2017,47900
,2018,48700
,2019,49300
,2020,51000
,2021,51500
  West Coast region,1996,33200
,1997,32900
,1998,32500
,1999,31900
,2000,31400
,2001,31100
,2002,31100
,2003,31400
,2004,31500
,2005,31800
,2006,32100
,2007,32300
,2008,32400
,2009,32700
,2010,32800
,2011,33100
,2012,33100
,2013,33000
,2014,32900
,2015,32800
,2016,32900
,2017,32700
,2018,32400
,2019,32500
,2020,32800
,2021,32700
  Canterbury region,1996,480400
,1997,485400
,1998,488800
,1999,491100
,2000,493600
,2001,496700
,2002,505100
,2003,515500
,2004,524800
,2005,531900
,2006,540000
,2007,547400
,2008,553800
,2009,560600
,2010,567700
,2011,559300
,2012,556000
,2013,562900
,2014,570600
,2015,585600
,2016,601900
,2017,614300
,2018,622800
,2019,631700
,2020,644100
,2021,649800
  Otago region,1996,189300
,1997,189300
,1998,188900
,1999,188200
,2000,188100
,2001,188300
,2002,191000
,2003,193500
,2004,195900
,2005,197900
,2006,199800
,2007,201000
,2008,202100
,2009,203300
,2010,204600
,2011,206600
,2012,207400
,2013,208800
,2014,212500
,2015,217400
,2016,223100
,2017,228800
,2018,235000
,2019,239400
,2020,244600
,2021,246700
  Southland region,1996,99000
,1997,97400
,1998,95500
,1999,93700
,2000,92700
,2001,93300
,2002,93500
,2003,94100
,2004,94100
,2005,93700
,2006,93200
,2007,93100
,2008,93300
,2009,93900
,2010,94700
,2011,95700
,2012,95900
,2013,96000
,2014,96800
,2015,97700
,2016,99000
,2017,99900
,2018,100500
,2019,101600
,2020,102800
,2021,102700
  Area outside region,1996,780
,1997,770
,1998,770
,1999,760
,2000,760
,2001,760
,2002,730
,2003,720
,2004,700
,2005,680
,2006,650
,2007,650
,2008,650
,2009,650
,2010,640
,2011,640
,2012,610
,2013,600
,2014,610
,2015,620
,2016,640
,2017,660
,2018,690
,2019,710
,2020,750
,2021,780
"  Total, North Island regions",1996,2810100
,1997,2854800
,1998,2886300
,1999,2906000
,2000,2926400
,2001,2944300
,2002,2999500
,2003,3062500
,2004,3109000
,2005,3145400
,2006,3185100
,2007,3214700
,2008,3241700
,2009,3274500
,2010,3311700
,2011,3348100
,2012,3373700
,2013,3398700
,2014,3458300
,2015,3527700
,2016,3606300
,2017,3684400
,2018,3753700
,2019,3815700
,2020,3902500
,2021,3925800
"  Total, South Island regions",1996,921100
,1997,925700
,1998,928000
,1999,928300
,2000,930500
,2001,935400
,2002,948200
,2003,964000
,2004,977800
,2005,987800
,2006,998800
,2007,1008400
,2008,1017400
,2009,1027500
,2010,1038400
,2011,1035200
,2012,1033700
,2013,1042800
,2014,1057600
,2015,1081000
,2016,1107200
,2017,1128500
,2018,1146200
,2019,1162800
,2020,1187000
,2021,1196000
data extracted on 14 Nov 2021 20:17 UTC (GMT) from NZ.Stat,,
